url,comment,date,name,readers
https://censor.net/ua/news/3260934/za_den_na_otrymannya_karantynnoyi_dopomogy_podaly_zayavky_ponad_116_tysyach_osib_fedorov,"це не успіх уряду,це провал.",20.04.2021,Dima30,"{""reading_me"": ""39"", ""i_am_reading"": ""42""}"
https://censor.net/ua/news/3260934/za_den_na_otrymannya_karantynnoyi_dopomogy_podaly_zayavky_ponad_116_tysyach_osib_fedorov,"Я тоже непрочь получить...но кто же самозанятому в селе даст хоть копейку...а так бы хоть за газ погасил... Но наверно важно дать денег одним, чтобы они не гавкали, и послать тех, кто ничего от державы не просит. У нас предприниматели хуже бюджетников уже - дай нам то, сделай нам это...",20.04.2021,Eduard Sobkoff,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260934/za_den_na_otrymannya_karantynnoyi_dopomogy_podaly_zayavky_ponad_116_tysyach_osib_fedorov,"Плохо , что всю сферу услуг выключили из списков . Это ремонт быттехники , электротехники , электронной техники , обуви , кожаных изделий , швейных изделий , часов .... , - Т . е . всю сферу бытовых услуг ... . Мабуть для того , щоб обмілівший народ купував все нове в супермаркетах . До речі , не розумію , хто вносив поправки в діючий закон , - де всі малі підприємці першої групи отримували допомогу від держави раніше .. . Мої колеги , ремісники , що заробляють гроші власними руками , а не перепродажем готових речей , - дуже засмучені (( .",20.04.2021,Вова Зименский,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260934/za_den_na_otrymannya_karantynnoyi_dopomogy_podaly_zayavky_ponad_116_tysyach_osib_fedorov,почепіть це на білборди перед усіма відділеннями Ощадбанку  ,20.04.2021,olele,"{""reading_me"": ""14"", ""i_am_reading"": ""12""}"
https://censor.net/ua/news/3260934/za_den_na_otrymannya_karantynnoyi_dopomogy_podaly_zayavky_ponad_116_tysyach_osib_fedorov,ОГО!! Сколько любителей халявщины!!,20.04.2021,Марк Муржи,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260928/vaktsynuvaty_ukrayintsiv_drugoyu_dozoyu_astrazeneca_budut_cherez_12_tyjniv_pislya_pershoyi_moz,Это тот журнальчик который сообщил что спутник 5 из паРаши является безопасным и эффективным?? https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00191-4/fulltext  Ну верим конечно.....авторитетное издание...очень...и врать не будут...12 недель...так 12 недель.... ,20.04.2021,Привет,"{""reading_me"": ""93"", ""i_am_reading"": ""16""}"
https://censor.net/ua/news/3260928/vaktsynuvaty_ukrayintsiv_drugoyu_dozoyu_astrazeneca_budut_cherez_12_tyjniv_pislya_pershoyi_moz,"А когда вторая вакцина будет в Украине? Зедебилы не хотите пообещать ,как всегда что скоро или возможно будет ?",20.04.2021,игорь полковник,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260928/vaktsynuvaty_ukrayintsiv_drugoyu_dozoyu_astrazeneca_budut_cherez_12_tyjniv_pislya_pershoyi_moz,яка така друга вакцина? вже колять сіновак і пфайзером і зенекою. яку ще тобі треба?,20.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260928/vaktsynuvaty_ukrayintsiv_drugoyu_dozoyu_astrazeneca_budut_cherez_12_tyjniv_pislya_pershoyi_moz,"Для интересующегося фрица,в марте сделали прививку астро зенекой ( индийской),одной дозой .пообещали что вторая доза вакцины этой партии останется для вакцинации,через 4 недели!!! Но за тем из за отсутствия вообще прививок в стране ,зедебилы решили не оставлять обещанную 2 дозу прививки и перенесли вакцинацию 2 дозой ,на придуманный ими срок в 3 месяца.Вот отсюда фриц и вопрос. Будет 2 часть прививки ,или очередная брехня от недоумков?",21.04.2021,игорь полковник,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260928/vaktsynuvaty_ukrayintsiv_drugoyu_dozoyu_astrazeneca_budut_cherez_12_tyjniv_pislya_pershoyi_moz,"чого це придумано: виробник дає інструкцію від 4 до 12 тижнів, так як Європа коле із січня, і міряє антитіла, то вирішили, що 4 тижня мало. так, степанов скоритався цим ізза відсутності вакцини, його це врятувало. а те, що прийде, все рівно не достатньо 367 000 нового завозу не покриють 500 000 першого, і то вони лише частину планують на другу дозу. а де ти фріза бачив, узкочєлюстной?",21.04.2021,Веретено,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260928/vaktsynuvaty_ukrayintsiv_drugoyu_dozoyu_astrazeneca_budut_cherez_12_tyjniv_pislya_pershoyi_moz,"Ты в Германии безработный? Или на пенсии? У бургеров рабочий день,а ты и днем и ночью ,все про Украину думаешь. По идее уже должен жить на улице в коробке из под мороженого.Кто такой фриз,и где я его должен увидеть? Я пишу про то что 2 марта получил одну дозу вроде как астра -зенеки ,и повелся на обещания ,что будет та же вакцина в установление время! Судя по очередным обещаниям зедебилов ,я и все остальные получим ее сжатым воздухом.",21.04.2021,игорь полковник,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/news/3260928/vaktsynuvaty_ukrayintsiv_drugoyu_dozoyu_astrazeneca_budut_cherez_12_tyjniv_pislya_pershoyi_moz,"А что так быстро? Можно и по-позже, через 2-3 года. Тогда иммунитет будет ваабще афигенный!",20.04.2021,Small Jerboa,"{""reading_me"": 0, ""i_am_reading"": 0}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"Если этого быка и сейчас не накажут серьезно, то можна всем открывать рестораны, кафе, кинотеатры. Если можна Коле-жопе, можно и всем.",20.04.2021,Lada2014,"{""reading_me"": ""35"", ""i_am_reading"": ""41""}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"Ниможна, ибо Тищенко - хазяин жизни, а среднестатестический зебил - тупо никто ",21.04.2021,Підлога Маккартні,"{""reading_me"": ""41"", ""i_am_reading"": ""6""}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,И только когда зебилы вместе и когда их 73 % только тогда они сила и способны сделать себя вместе ,21.04.2021,Підлога Маккартні,"{""reading_me"": ""41"", ""i_am_reading"": ""6""}"
https://censor.net/ua/video_news/3260912/proyekt_bez_tsenzury_koli_mojna_vse_chomu_zelenskyyi_povynen_pokaraty_slugu_narodu_tyschenka_video,"""Мастер и Маргарита"" перечитайте у нас бал сатаны разгул нечести......",20.04.2021,Dima qwe,"{""reading_me"": ""4"", ""i_am_reading"": 0}"
