Comment;Statement/No statement;;;;;
Aktueller denn je;0;;;;;
Ich find schade, dass er nicht alle Daseinsformen aufzählt. Überall Ausgrenzung... :(;0;;;;;
Ens Leutende !.. und das Video ist schon 5 Jahre alt… heute aktueller denjeh;0;;;;;
Ich finde es irgendwie ein bisschen beleidigend;1;;;;;
Legenden besagen er grüßt noch und normen sucht noch seine Fische.;0;;;;;
Ehrenmann (wäre er nicht in der AFD);0;;;;;
"ICH LACH MICH SCHLAPP;)))) ICH BIN ZUM GLÜCK ZU BLÖD UM ZU KAPIEREN WAS DIE EINZELNEN GENDERVARIANTEN ÜBERHAUPT BEDEUTEN......MANCHMAL IST MAN MIT DUMMHEIT GESEGNET:))))";1;;;;;
Hallo liebe Mainzelmännchen,<br>wo sind denn Eure Mainzelfrauchen?<br>mir fällt seit geraumer Zeit immer mehr auf, dass in den Werbefilmen immer mehr Darsteller*innen mit Migrationshintergrund mitwirken, die deutsche Konsumentenklientel darstellen bzw. repräsentieren sollen. Ich glaube nicht, dass die werbenden Firmen dies freiwillig tun, sondern dass es irgendwelche Absprachen gibt. Wenn sich das ZDF aber nach aussen hin so Multikulti gibt, dann ist es endlich an der Zeit, dass die Mainzelmännchen ein schwarzes, gelbes, lbgtiq und gemischtes Kerlchen dazukriegt. Ach ja und die Frauenquote ist auch noch nicht umgesetzt! Wenn schon korrekt, dann bitteschön in allen Bereichen. Nix für ungut! Ich finde die Mainzelmännchen in der Zwischenzeit einfach nur diskriminierend! 🤣😂;0;;;;;
Zuerst wollten sie nach dem Krieg eine Deutschweite Entnazifizierung durchführen.<br>Und Was ist dabei rausgekommen? Ein IDIOTENSTAAT !<br>Wählt nur noch mehr Grün und Rot !;0;;;;;
..i wonder whether his speech was kosher.....anyway a gem amongst the German MP.;0;;;;;
💙;0;;;;;
Das Mädel im weissen Kostüm hinter ihm schüttelte mit dem Kopf. Wahrscheinlich hat er eine Formulierung vergessen.;0;;;;;
